2020-01-24 22:35:19.886910
"City Name:  punta arenas, City Number:  3874787"
"City Name:  massaguet, City Number:  2428231"
City not found
"City Name:  kavieng, City Number:  2094342"
"City Name:  lebu, City Number:  3883457"
"City Name:  bathsheba, City Number:  3374083"
"City Name:  mount gambier, City Number:  2156643"
"City Name:  castro, City Number:  3466704"
"City Name:  butaritari, City Number:  2110227"
"City Name:  jamestown, City Number:  5122534"
"City Name:  batetskiy, City Number:  578732"
"City Name:  umm kaddadah, City Number:  364933"
"City Name:  makueni, City Number:  188080"
"City Name:  rikitea, City Number:  4030556"
"City Name:  kendari, City Number:  1640344"
"City Name:  nikolskoye, City Number:  546105"
"City Name:  vaini, City Number:  4032243"
"City Name:  dikson, City Number:  1507390"
"City Name:  tiksi, City Number:  2015306"
"City Name:  ushuaia, City Number:  3833367"
"City Name:  nuuk, City Number:  3421319"
"City Name:  katsuura, City Number:  2112309"
"City Name:  tuktoyaktuk, City Number:  6170031"
"City Name:  klaksvik, City Number:  2618795"
"City Name:  itarema, City Number:  3393692"
City not found
"City Name:  kodarma, City Number:  1266414"
"City Name:  codrington, City Number:  2171099"
"City Name:  ancud, City Number:  3899695"
"City Name:  cabo san lucas, City Number:  3985710"
"City Name:  ribeira grande, City Number:  3372707"
"City Name:  venado tuerto, City Number:  3833062"
"City Name:  bengkulu, City Number:  1649150"
"City Name:  atuona, City Number:  4020109"
"City Name:  longyearbyen, City Number:  2729907"
"City Name:  aklavik, City Number:  5882953"
"City Name:  oyama, City Number:  1853483"
City not found
"City Name:  dubbo, City Number:  2168305"
"City Name:  ponazyrevo, City Number:  506696"
"City Name:  kinwat, City Number:  1266518"
"City Name:  victoria, City Number:  1819729"
"City Name:  ranfurly, City Number:  2183774"
"City Name:  kapaa, City Number:  5848280"
"City Name:  bilma, City Number:  2446796"
"City Name:  caibarien, City Number:  3566356"
"City Name:  nioro, City Number:  2412408"
"City Name:  albany, City Number:  5106841"
"City Name:  bluff, City Number:  2206939"
"City Name:  puerto ayora, City Number:  3652764"
"City Name:  methoni, City Number:  257122"
"City Name:  barrow, City Number:  5880054"
"City Name:  tulagi, City Number:  2102384"
"City Name:  hobart, City Number:  2163355"
"City Name:  mahebourg, City Number:  934322"
"City Name:  ulaanbaatar, City Number:  2028462"
"City Name:  lensk, City Number:  2020838"
